Country Name,ISO,Indicator Name,Indicator Code,Value
Aruba,ABW,"Population, total",SP.POP.TOTL,106445
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,720859132
Afghanistan,AFG,"Population, total",SP.POP.TOTL,41128771
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,490330870
Angola,AGO,"Population, total",SP.POP.TOTL,35588987
Albania,ALB,"Population, total",SP.POP.TOTL,2777689
Andorra,AND,"Population, total",SP.POP.TOTL,79824
Arab World,ARB,"Population, total",SP.POP.TOTL,464684914
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9441129
Argentina,ARG,"Population, total",SP.POP.TOTL,46234830
Armenia,ARM,"Population, total",SP.POP.TOTL,2780469
American Samoa,ASM,"Population, total",SP.POP.TOTL,44273
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,93763
Australia,AUS,"Population, total",SP.POP.TOTL,26005540
Austria,AUT,"Population, total",SP.POP.TOTL,9041851
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10141756
Burundi,BDI,"Population, total",SP.POP.TOTL,12889576
Belgium,BEL,"Population, total",SP.POP.TOTL,11685814
Benin,BEN,"Population, total",SP.POP.TOTL,13352864
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,22673762
Bangladesh,BGD,"Population, total",SP.POP.TOTL,171186372
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6465097
Bahrain,BHR,"Population, total",SP.POP.TOTL,1472233
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,409984
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3233526
Belarus,BLR,"Population, total",SP.POP.TOTL,9228071
Belize,BLZ,"Population, total",SP.POP.TOTL,405272
Bermuda,BMU,"Population, total",SP.POP.TOTL,63532
Bolivia,BOL,"Population, total",SP.POP.TOTL,12224110
Brazil,BRA,"Population, total",SP.POP.TOTL,215313498
Barbados,BRB,"Population, total",SP.POP.TOTL,281635
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,449002
Bhutan,BTN,"Population, total",SP.POP.TOTL,782455
Botswana,BWA,"Population, total",SP.POP.TOTL,2630296
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5579144
Canada,CAN,"Population, total",SP.POP.TOTL,38929902
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,100108221
Switzerland,CHE,"Population, total",SP.POP.TOTL,8775760
Channel Islands,CHI,"Population, total",SP.POP.TOTL,174079
Chile,CHL,"Population, total",SP.POP.TOTL,19603733
China,CHN,"Population, total",SP.POP.TOTL,1412175000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28160542
Cameroon,CMR,"Population, total",SP.POP.TOTL,27914536
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,99010212
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5970424
Colombia,COL,"Population, total",SP.POP.TOTL,51874024
Comoros,COM,"Population, total",SP.POP.TOTL,836774
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,593149
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5180829
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7505478
Cuba,CUB,"Population, total",SP.POP.TOTL,11212191
Curacao,CUW,"Population, total",SP.POP.TOTL,149996
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,68706
Cyprus,CYP,"Population, total",SP.POP.TOTL,1251488
Czechia,CZE,"Population, total",SP.POP.TOTL,10672118
Germany,DEU,"Population, total",SP.POP.TOTL,83797985
Djibouti,DJI,"Population, total",SP.POP.TOTL,1120849
Dominica,DMA,"Population, total",SP.POP.TOTL,72737
Denmark,DNK,"Population, total",SP.POP.TOTL,5903037
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11228821
Algeria,DZA,"Population, total",SP.POP.TOTL,44903225
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2129112126
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3447398652
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2375162207
